length,name,year
"
                        1h 57min
                    ",Alien ,1979
"
                        2h 22min
                    ",The Shawshank Redemption ,1994
"
                        1h 35min
                    ",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964
"
                        2h 5min
                    ",The Great Dictator ,1940
"
                        2h 17min
                    ",The Lives of Others ,2006
"
                        2h 35min
                    ",Cinema Paradiso ,1988
"
                        1h 50min
                    ",Sunset Boulevard ,1950
"
                        1h 29min
                    ",The Lion King ,1994
"
                        2h 35min
                    ",Gladiator ,2000
"
                        2h 10min
                    ",The Prestige ,2006
"
                        2h 33min
                    ",Apocalypse Now ,1979
"
                        1h 47min
                    ",Whiplash ,2014
"
                        1h 56min
                    ",Back to the Future ,1985
"
                        1h 53min
                    ",Memento ,2000
"
                        2h 31min
                    ",The Departed ,2006
"
                        2h 30min
                    ",The Pianist ,2002
"
                        2h 27min
                    ","Paris, Texas ",1984
"
                        1h 24min
                    ",Beauty and the Beast ,1991
"
                        2h 1min
                    ",Guardians of the Galaxy ,2014
"
                        1h 58min
                    ",The King's Speech ,2010
"
                        3h 8min
                    ",Fanny and Alexander ,1982
"
                        1h 39min
                    ",A Fistful of Dollars ,1964
"
                        2h 5min
                    ",Castle in the Sky ,1986
"
                        1h 58min
                    ",Roman Holiday ,1953
"
                        2h 24min
                    ",The Martian ,2015
"
                        2h 23min
                    ",The Avengers ,2012
"
                        5h 20min
                    ",Gangs of Wasseypur ,2012
"
                        1h 54min
                    ",The Imitation Game ,2014
"
                        2h 26min
                    ",The Help ,2011
"
                        2h 23min
                    ",Pirates of the Caribbean: The Curse of the Black Pearl ,2003
"
                        2h 5min
                    ",Dog Day Afternoon ,1975
"
                        1h 46min
                    ",Ip Man ,2008
"
                        2h 36min
                    ",The Revenant ,2015
"
                        2h 1min
                    ",The Battle of Algiers ,1966
"
                        1h 48min
                    ",Deadpool ,2016
"
                        2h 21min
                    ",Catch Me If You Can ,2002
"
                        2h 4min
                    ",Sin City ,2005
"
                        1h 38min
                    ",La Haine ,1995
"
                        1h 33min
                    ",Song of the Sea ,2014
"
                        3h 4min
                    ",Barry Lyndon ,1975
"
                        1h 46min
                    ",Kind Hearts and Coronets ,1949
"
                        1h 41min
                    ",Strangers on a Train ,1951
"
                        2h 4min
                    ",Jaws ,1975
"
                        2h 33min
                    ",Prisoners ,2013
"
                        1h 41min
                    ",Infernal Affairs ,2002
"
                        2h 52min
                    ",The Best Years of Our Lives ,1946
"
                        2h 9min
                    ",Twelve Monkeys ,1995
"
                        1h 47min
                    ",The Terminator ,1984
"
                        1h 32min
                    ","Monsters, Inc. ",2001
"
                        1h 41min
                    ",Groundhog Day ,1993
"
                        2h 10min
                    ",Harry Potter and the Deathly Hallows: Part 2 ,2011
"
                        1h 53min
                    ",Donnie Darko ,2001
"
                        1h 42min
                    ",The Wizard of Oz ,1939
"
                        2h 18min
                    ",8½ ,1963
"
                        2h
                    ",Rocky ,1976
"
                        3h 11min
                    ",Gandhi ,1982
"
                        1h 56min
                    ",Diabolique ,1955
"
                        1h 55min
                    ",The Bourne Ultimatum ,2007
"
                        1h 45min
                    ",Before Sunrise ,1995
"
                        2h 12min
                    ",Memories of Murder ,2003
"
                        1h 33min
                    ",Annie Hall ,1977
"
                        1h 43min
                    ",The Truman Show ,1998
"
                        2h 43min
                    ",Stalker ,1979
"
                        2h 9min
                    ",The Grapes of Wrath ,1940
"
                        1h 57min
                    ",Nausicaä of the Valley of the Wind ,1984
"
                        1h 35min
                    ",Touch of Evil ,1958
"
                        1h 48min
                    ",Zootopia ,2016
"
                        2h 7min
                    ",Jurassic Park ,1993
"
                        1h 38min
                    ",The Princess Bride ,1987
"
                        1h 33min
                    ",Hachi: A Dog's Tale ,2009
"
                        2h 12min
                    ",Million Dollar Baby ,2004
"
                        2h 34min
                    ",Amores Perros ,2000
"
                        3h 32min
                    ",Ben-Hur ,1959
"
                        2h 14min
                    ",12 Years a Slave ,2013
"
                        1h 39min
                    ",The Grand Budapest Hotel ,2014
"
                        2h 2min
                    ",Wild Tales ,2014
"
                        2h 13min
                    ",In the Name of the Father ,1993
"
                        1h 23min
                    ",Persona ,1966
"
                        1h 39min
                    ",The 400 Blows ,1959
"
                        1h 29min
                    ",Stand by Me ,1986
"
                        2h 18min
                    ",Shutter Island ,2010
"
                        1h 50min
                    ",Butch Cassidy and the Sundance Kid ,1969
"
                        2h
                    ",Mad Max: Fury Road ,2015
"
                        2h 8min
                    ",Spotlight ,2015
"
                        2h 1min
                    ",Network ,1976
"
                        1h 40min
                    ",The Maltese Falcon ,1941
"
                        2h
                    ",Platoon ,1986
